product_name,price_of_the_product,properties,star_ratings,no_of_ratings,no_of_reviews
Blair Epic RO UV UF TDS 17 L RO + UV + UF + TDS Water Purifier,"₹5,399","['Electrical & Storage', 'RO + UV + UF + TDS', '17 L Capacity', '1 YEAR OFFSITE DOMESTIC']",4,"2,060",418
V-Guard Zenora RO+UF+MB 7 L RO + UF + MB Water Purifier,"₹8,919","['Electrical & Storage', 'RO + UF + MB', '7 L Capacity', 'One Year comprehensive domestic warranty on All parts excluding the plastic body of the product and any other additional accessory purchased separately. Technician visit, if applicable, will be free for the customer.']",4.2,351,72
KENT MAXX (11013) 7 L UV + UF Water Purifier,"₹7,758","['Electrical & Storage', 'UV + UF', '7 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase']",4,"5,988",873
Eureka Forbes Aquasure from Aquaguard Shield 6 L RO + UV + MP + MTDS Water Purifier,"₹7,999","['Electrical & Storage', 'RO + UV + MP + MTDS', '6 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,"16,252","3,697"
Mi Smart (MRB13) 7 L RO + UV Water Purifier with App Connectivity and DIY Filter Replacement,"₹11,999","['Electrical & Storage', 'RO + UV', '7 L Capacity', '1 Year Limited Warranty (Covers manufacturing related defects)']",4.1,"4,829",680
Aqua Fresh NYC PRISM COPPER+ALKALINE+RO+UV+TDS 15 L WHITE AUTOMATIC ELECTRICAL BOREWELL 1500 TDS BEST ...,"₹5,699","['Electrical & Storage', 'RO + UV', '15 L Capacity', '6 MONTH OFFSITE WARRANTY']",4.1,18,2
Aqua NATURAL WATER 12 L ALKALINE VITAMIN B12 RO_UV_UF _TDS_ALKALINE B12 12 L RO + UV + UF + TDS Water ...,"₹5,199","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4.3,24,6
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"4,009",422
EUREKA FORBES Smart UV Water Purifier,"₹6,499","['Electrical & Non - Storage', 'UV', '1 Year Manufacturer Warranty']",4.2,"1,040",203
KENT Pearl ZW 8 L RO + UV + UF + TDS Water Purifier,"₹16,499","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.3,108,15
Aquagrand Black Audi purify Mineral+ro+uv+uf+tds 15 L 12 L RO + UV + UF + TDS Water Purifier,"₹5,160","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 months domestic warranty on electric parts(pump and smps)']",3.9,276,38
Eureka Forbes Aquasure from Aquaguard Desire 7 L RO + MC Water Purifier,"₹7,999","['Electrical & Storage', 'RO + MC', '7 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,981,188
NASAKA Xtra Sure 20 L Gravity Based Water Purifier 20 L Gravity Based + UF Water Purifier,"₹1,849","['Non - Electrical & Storage', 'Gravity Based + UF', '20 L Capacity', '1 Year']",4.2,122,14
V-Guard Zenora RO+UV+MB 7 L RO + UV + MB Water Purifier,"₹10,864","['Electrical & Storage', 'RO + UV + MB', '7 L Capacity', 'One Year comprehensive domestic warranty on All parts excluding the plastic body of the product and any other additional accessory purchased separately. Technician visit, if applicable, will be free for the customer.']",4.4,178,35
Ao Smith Z8 10 L RO Water Purifier,"₹22,499","['Electrical & Storage', 'RO', '10 L Capacity', '1 Year Comprehensive Warranty & 1 Year RO Membrane Warranty if TDS is < 2000 ppm Hardness is < 400 ppm']",4.4,"1,355",254
KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier with Digital Display,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.5,443,48
Pureit by HUL Advanced Plus 5 L RO + MF + MP Water Purifier,"₹7,499","['Electrical & Storage', 'RO + MF + MP', '5 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer.']",4.3,"4,306",739
Blue Star Excella 6 L RO + UV + UF Water Purifier,"₹8,999","['Electrical & Storage', 'RO + UV + UF', '6 L Capacity', '1 Year Warranty on Product']",4.2,204,23
HAVELLS GHWRPMB015-RO-MAX 8 L RO + UV + UF + TDS Water Purifier,"₹13,245","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', 'COMPHRESIVE']",4.3,117,24
Hindware Calisto RO + UV + UF 7 L RO + UV + UF Water Purifier,"₹7,499","['Electrical & Storage', 'RO + UV + UF', '7 L Capacity', '1 Year Comprehensive Warranty from the Date of Installation ( 6 Months for All Filters + 1 Year for R.O Membrane).']",4,"19,851","4,290"
EUREKA FORBES Aquasure Aqua Flo DX NEW UV Water Purifier,"₹5,999","['Electrical & Non - Storage', 'UV', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4,"3,814",669
KENT ACE Plus 8 L RO + UV + UF + TDS Control + UV in Tank Water Purifier,"₹15,250","['Electrical & Storage', 'RO + UV + UF + TDS Control + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"1,182",123
Pureit Advanced Plus 5 L RO + UV + Minerals Water Purifier with Minerals,"₹8,549","['Electrical & Storage', 'RO + UV + Minerals', '5 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer.']",4.5,"1,012",188
Eureka Forbes Aquasure from Aquaguard Desire 7 L RO + UV + MTDS Water Purifier,"₹9,699","['Electrical & Storage', 'RO + UV + MTDS', '7 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,"8,779","1,617"
Eureka Forbes Aquasure from Aquaguard Amaze 7 L RO + UV + MTDS Water Purifier,"₹9,999","['Electrical & Storage', 'RO + UV + MTDS', '7 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.1,852,152
Tata Swach DESIRE+ 27 L Gravity Based Water Purifier,"₹2,799","['Non - Electrical & Storage', 'Gravity Based', '27 L Capacity', '6 Months Manufacturer Warranty']",4.1,"1,685",258
Pureit by HUL ULTIMA MINERAL 10 L RO + UV + MF Water Purifier,"₹15,999","['Electrical & Storage', 'RO + UV + MF', '10 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer.']",4.2,"1,193",198
Eureka Forbes Aquasure from Aquaguard Shield 6 L RO + UV + MP + MTDS Water Purifier,"₹7,999","['Electrical & Storage', 'RO + UV + MP + MTDS', '6 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,"15,824","3,715"
KENT Grand 11076 8 L RO + UV + UF + TDS Water Purifier,"₹14,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase']",2.3,3,0
Rk Aquafresh India Swift Plus 12 Ltrs 14stage 12 L RO + UV + UF Water Purifier,"₹5,399","['Electrical & Storage', 'RO + UV + UF', '12 L Capacity', 'One Year Warranty On All Electronic Items Except Uv Lamp For Every Visit Customer Need To Pay 350Rs to Exective For Any Details Please Call 1800 313 3660(10am-6pm Monday To Saturday)']",3.9,"2,619",744
Aquagrand NYC Model ro + uv + uf + tds Water Purifier 12 L RO + UV + UF + TDS Water Purifier,"₹5,099","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4.1,75,10
Aquaguard Glory 6 L RO + UV + MTDS Water Purifier with Active Copper technology,"₹14,999","['Electrical & Storage', 'RO + UV + MTDS', '6 L Capacity', '1 Year Manufacturer Warranty from the Date of Purchase, 1 Year Warranty on RO Membrane']",4.2,235,34
